siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
521532382,00038,52153238200038,O,2014-01-01,NN,,,2025-12-06T03:20:36.842,true,A,O,,2010-03-25,5499,ECLA,,,,,,,,,,,30.12Z,NAFRev2,,N,,NN,,00038,2025-12-06T09:25:15.56,PME,2023,POLE NAUTISME 1ER ETAGE,,,,QUAI,DE GOSLAR,33120,ARCACHON,,33009,,,33009512c1v_B,371659.03395528835,6404093.116489893,A,,,,,30.12Z,NAFRev2,N,30.12Y
529926461,00011,52992646100011,O,2011-01-05,NN,,3012ZZ,2025-12-05T19:32:44.729,true,A,O,,2011-01-05,5710,BO YACHTING,,,,,,,,,,,30.12Z,NAFRev2,,,,NN,,00011,2025-12-06T07:52:24.6,PME,2023,,12,,,QUAI,DU CAPITAINE ALLEGRE,33120,ARCACHON,,33009,,,330090265_B,371569.2361920335,6403845.1175108915,A,BO YACHTING,,,,30.12Z,NAFRev2,O,30.12Y
534380092,00013,53438009200013,O,2011-08-22,NN,,3012ZZ,2025-12-05T15:52:20.675,true,A,O,,2011-08-22,1000,,,M,AUBERT,,STEPHANE,BERNARD,,,STEPHANE,,30.12Z,NAFRev2,,,,NN,,00013,2025-12-06T10:22:05.503,PME,2023,RES GRANGENEUVE 2 LOGT 67,67,,,RUE,ANDRE MALRAUX,33470,LE TEICH,,33527,,,335270244_B,379736.35643164365,6398988.475814727,A,,,,,30.12Z,NAFRev2,N,30.12Y
753501626,00026,75350162600026,O,2018-04-01,01,2023,3012ZZ,2025-12-05T16:29:42.621,true,A,O,,2012-09-01,5499,SARL DESIGN YACHT PROJECT,,,,,,,,,,,30.12Z,NAFRev2,,N,,01,2023,00026,2025-12-06T10:16:51.772,PME,2023, BASSIN A FLOT NO 2,,,,,BAT LES ATELIERS DES BASSINS - ZONE TECHNIQUE N8 ,33000,BORDEAUX,,33063,,,,418587.31,6425347.22,A,ROSEWEST,,,ROSEWEST,30.12Z,NAFRev2,N,30.12Y
798292207,00015,79829220700015,O,2013-10-07,01,2023,,2025-12-05T19:54:51.435,true,A,O,,2013-10-07,5499,CHANTIER NAVAL HENARD,,,,,,,,,,,30.12Z,NAFRev2,,N,,01,2023,00015,2025-12-06T06:01:48.033,PME,2023,,496,,,PORT,DE LARROS,33470,GUJAN-MESTRAS,,33199,,,33199B222_B,377189.28316395706,6402028.169401701,A,,,,,30.12Z,NAFRev2,O,30.12Y
799697396,00015,79969739600015,O,2013-12-18,01,2023,,2025-12-06T04:29:07.497,true,A,O,,2013-12-18,5710,COUACH SERVICES,,,,,,,,,,,30.12Z,NAFRev2,,N,,01,2023,00015,2025-12-06T08:32:59.953,ETI,2023,,,,,RUE,DE L'YSER,33470,GUJAN-MESTRAS,,33199,,,331990850_B,377529.67516113404,6401876.691904845,A,,,,,30.12Z,NAFRev2,N,30.12Y
804797785,00016,80479778500016,O,2014-09-01,NN,,3012ZZ,2025-12-05T21:58:24.982,true,A,O,,2014-09-01,1000,,,M,PREBOT,,REMY,LOUIS,GASTON,,REMY,,30.12Z,NAFRev2,,,,NN,,00016,2025-12-06T08:37:57.238,PME,2023,LOT BOIS DE SAINT YVES,6,,,RUE,DES MACREUSES,33980,AUDENGE,,33019,,,330190266_B,382729.23601745255,6407472.707349909,A,STRATOSPHERE,,,PREBOT,30.12Z,NAFRev2,N,30.12Y
811721174,00019,81172117400019,O,2015-06-02,NN,,,2025-12-06T04:54:31.675,true,A,O,,2015-06-02,5710,AVE,,,,,,,,,,,30.12Z,NAFRev2,,,,NN,,00019,2025-12-06T06:20:34.89,PME,2023,,4,,,RUE,DU COUVENT,33330,SAINT-EMILION,,33394,,,333940160_B,450774.40180482826,6426446.139850717,A,,,,,30.12Z,NAFRev2,O,30.12Y
811838432,00011,81183843200011,P,2015-06-15,NN,,,2025-12-06T04:09:19.639,true,A,P,,2015-06-15,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],30.12Z,NAFRev2,,,,NN,,00011,2025-12-06T06:37:18.008,PME,2023,[ND],[ND],[ND],[ND],[ND],[ND],[ND],LE TEICH,,33527,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],30.12Z,NAFRev2,N,30.12Y
812206340,00083,81220634000083,O,2024-08-01,NN,,,2025-12-06T05:03:30.928,true,A,O,,2015-06-23,5710,Z NAUTIC,,,,,,,,,,,30.12Z,NAFRev2,,N,,21,2023,00083,2025-12-06T05:16:41.881,ETI,2023,,,,,RUE,DE L'YSER,33470,GUJAN-MESTRAS,,33199,,,331990850_B,377529.68,6401876.69,A,,,,,30.12Z,NAFRev2,N,46.49Y
821282688,00018,82128268800018,O,2016-07-01,02,2023,3012ZZ,2025-12-05T20:00:26.205,true,A,O,,2016-07-01,5499,LACA BOAT,JLN,,,,,,,,,,30.12Z,NAFRev2,,N,,02,2023,00018,2025-12-06T11:15:23.255,PME,2023,ZA LA MEULE,22,,,RTE,DE LA BERLE,33680,LACANAU,,33214,,,,,,A,,,,,30.12Z,NAFRev2,O,30.12Y
821282688,00042,82128268800042,O,2024-01-01,NN,,,2025-12-05T19:37:06.437,false,A,O,,2016-07-01,5499,LACA BOAT,JLN,,,,,,,,,,30.12Z,NAFRev2,,N,,02,2023,00018,2025-12-06T11:15:23.255,PME,2023,,56,,,ROUTE,DU LAC,33121,CARCANS,,33097,,,330970073_B,379561.6649534078,6450026.06042647,A,,,,,30.12Z,NAFRev2,N,30.12Y
828818518,00015,82881851800015,O,2017-03-24,NN,,3012ZZ,2025-12-05T16:26:30.047,true,A,O,,2017-03-24,1000,,,M,DE CUNIAC,,LOUIS,LAURENT,MARIE,ANTOINE,LOUIS,,30.12Z,NAFRev2,,,,NN,,00015,2025-12-06T10:09:35.273,PME,2023,ZONE ARTISANALE DE LEGE,1,,,RUE,HERMIONE,33950,LEGE-CAP-FERRET,,33236,,,332360829_B,370183.8998186229,6418343.201071199,A,CHANTIER NAVAL DU CAP-FERRET,LDC CONSTRUCTION NAVALE,,CHANTIER NAVAL DU CAP-FERRET,30.12Z,NAFRev2,N,30.12Y
831184593,00018,83118459300018,O,2017-06-23,NN,,3012ZZ,2025-12-06T04:50:30.478,true,A,O,,2017-06-23,5710,J.C. MARINE,,,,,,,,,,,30.12Z,NAFRev2,,N,,NN,,00018,2025-12-06T05:42:53.155,PME,2023,,2,B,,AVENUE,GUTENBERG,33510,ANDERNOS-LES-BAINS,,33005,,,330050377_B,377978.7067449851,6415672.5711688595,A,J.C. MARINE,,,MARINE AUTO DISTRIBUTION,30.12Z,NAFRev2,N,30.12Y
834227654,00029,83422765400029,O,2020-09-01,03,2023,3012ZZ,2025-12-05T19:35:33.632,true,A,O,,2018-01-05,5499,CHANTIER NAVAL DU CAP-FERRET,CNCF,,,,,,,,,,30.12Z,NAFRev2,,N,,03,2023,00029,2025-12-06T06:48:24.724,PME,2023,,18,,,RUE,DUCASSE,33950,LEGE-CAP-FERRET,,33236,,,332360574_B,370413.119403531,6418632.176577323,A,BATOLOCAP,,,CHANTIER NAVAL DU CAP-FERRET,30.12Z,NAFRev2,O,30.12Y
834275976,00019,83427597600019,O,2017-12-18,00,2023,,2025-12-05T20:09:42.365,true,A,O,,2017-12-18,5710,BEACHER CONCEPT II,,,,,,,,,,,30.12Z,NAFRev2,,N,,00,2023,00019,2025-12-06T08:21:46.052,PME,2023,,322,,,ALLEE,DE BORDEAUX,33470,GUJAN-MESTRAS,,33199,,,331990071_B,378076.2251360416,6400066.25592236,A,BEACHER,,,BEACHER,30.12Z,NAFRev2,N,30.12Y
838351716,00025,83835171600025,O,2018-12-28,01,2023,,2025-12-06T04:32:20.73,true,A,O,,2018-02-01,5710,LES ATELIERS DE L'ATLANTIQUE,,,,,,,,,,,30.12Z,NAFRev2,,N,,01,2023,00025,2025-12-06T06:07:18.495,PME,2023,,7,,,RUE,BERNARD PALISSY,33510,ANDERNOS-LES-BAINS,,33005,,,330050071_B,378216.3997194277,6415584.790381642,A,,,,LES ATELIERS DE L'ATLANTIQUE,30.12Z,NAFRev2,N,30.12Y
892273319,00012,89227331900012,O,2021-01-02,11,2023,3315ZZ,2026-01-16T13:09:51.005,true,A,O,,2021-01-02,5710,BY PAINT SERVICE,,,,,,,,,,,30.12Z,NAFRev2,,N,,11,2023,00012,2026-01-16T13:09:50.987,PME,2023,,13,,,AV,ARMAND BERAUD,33440,SAINT VINCENT DE PAUL,,33487,,,334870003_C,,,A,,,,,30.12Z,NAFRev2,N,30.12Y
910415645,00019,91041564500019,O,2022-02-15,02,2023,3012ZZ,2025-12-06T04:28:31.432,true,A,O,,2022-02-15,5710,ECO-CONSTRUCTIONS DE NOUVELLE AQUITAINE,,,,,,,,,,,30.12Z,NAFRev2,,N,,02,2023,00019,2025-12-06T07:37:24.931,PME,2023,,1010,,,AVENUE,DE L’EUROPE,33260,LA TESTE-DE-BUCH,,33529,,,335291074_B,373714.50562151015,6399358.468355973,A,,,,,30.12Z,NAFRev2,N,30.12Y
910415645,00027,91041564500027,O,2022-04-11,NN,,,2025-12-05T17:26:54.753,false,A,O,,2022-02-15,5710,ECO-CONSTRUCTIONS DE NOUVELLE AQUITAINE,,,,,,,,,,,30.12Z,NAFRev2,,N,,02,2023,00019,2025-12-06T07:37:24.931,PME,2023,HALL 3 OUEST,,,,PORT,DE MEYRAN,33470,GUJAN-MESTRAS,,33199,,,33199B225_B,375139.947957807,6402137.852301102,A,IBAIA BOATS,,,,30.12Z,NAFRev2,N,30.12Y
911316990,00017,91131699000017,O,2022-04-04,NN,,,2025-12-05T19:03:45.91,true,A,O,,2022-04-04,1000,,,M,DUBROCA,OLIVIER DUBROCA,OLIVIER,,,,OLIVIER,,30.12Z,NAFRev2,,,,NN,,00017,2025-12-06T09:18:31.963,PME,2023,,5,,,RUE,DE SANDILLAN,33320,LE TAILLAN-MEDOC,,33519,,,335190585_B,410295.7821241242,6429591.179785142,A,VOGUER MALIN,,,VOGUER MALIN,30.12Z,NAFRev2,N,30.12Y
913728267,00026,91372826700026,O,2022-05-20,NN,,,2025-12-05T16:11:47.81,true,A,O,,2022-05-19,5710,L'BORD'EAUX HOUSE BOAT,,,,,,,,,,,30.12Z,NAFRev2,,N,,01,2023,00026,2025-12-06T08:43:02.686,PME,2023,,38,,,AVENUE,CHARLEMAGNE,33126,LA RIVIERE,,33356,,,333560230_B,439005.0311561668,6431537.074140152,A,,,,,30.12Z,NAFRev2,N,30.12Y
930673181,00010,93067318100010,O,2024-07-01,NN,,,2025-12-06T01:09:06.954,true,A,O,,2024-07-01,5710,COUACH CATAMARANS,,,,,,,,,,,30.12Z,NAFRev2,,N,N,NN,,00010,2025-12-06T08:00:54.579,,,,10,,,RUE,DE L'YSER,33470,GUJAN-MESTRAS,,33199,,,331990850_B,377275.91,6401791.01,A,,,,,30.12Z,NAFRev2,O,30.12Y
939823159,00016,93982315900016,O,2025-01-07,NN,,,2025-12-06T00:26:31.305,true,A,O,,2025-01-07,5710,OUTDOOR SPORTS DIGITAL,,,,,,,,,,,30.12Z,NAFRev2,,N,N,NN,,00016,2025-12-06T06:56:33.545,,,,13,,,AVENUE,DE MOULIS,33127,MARTIGNAS-SUR-JALLE,,33273,,,332730136_B,400411.26,6423666.69,A,,,,,30.12Z,NAFRev2,N,30.12Y
943006130,00018,94300613000018,O,2025-04-04,NN,,,2025-12-05T18:13:24.152,true,A,O,,2025-04-04,5710,PIKE BOARD,,,,,,,,,,,30.12Z,NAFRev2,,N,N,NN,,00018,2025-12-06T07:51:25.844,,,,25,,,CHEMIN,DE LA MATTE,33270,BOULIAC,,33065,,,330650084_B,422508.93,6417779.94,A,,,,PIKE BOARD,30.12Z,NAFRev2,N,30.12Y
948309950,00012,94830995000012,O,2023-01-01,NN,,,2025-12-05T17:20:28.87,true,A,O,,2023-01-01,1000,,,M,BRIANCEAU,,PAUL,,,,PAUL,,30.12Z,NAFRev2,,,,NN,,00012,2025-12-06T06:59:12.133,PME,2023,,1355,,,ROUTE,DU CONTOU,33550,TABANAC,,33518,,,335180144_B,430720.7933812391,6408885.814326933,A,,,,CHANTIER DU MASCARET,30.12Z,NAFRev2,N,30.12Y
981149016,00025,98114901600025,O,2025-04-08,NN,,,2025-12-06T00:44:52.071,true,A,O,,2023-10-25,5710,BARAKAFRET,,,,,,,,,,,30.12Z,NAFRev2,,N,,NN,,00025,2025-12-06T08:46:10.122,PME,2023,,28,,,RUE,FRANCOIS ARAGO,33700,MERIGNAC,,33281,,,332810974_B,409897.66,6424111.52,A,,,,,30.12Z,NAFRev2,N,30.12Y
